dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/10T/medium,TW3Cast,19.412776833112144,19.412776833112144,1.8040954711347048,0.7869235086497182,3.766313016798272,1.441603376949237,3.696346422370546,4.405993285640838,0.9777073702770732,0.4003359343647614,0.2885121208338617,Energy,1
solar/D/short,TW3Cast,119614.25596107056,119614.25596107056,246.15643248175184,0.9601601617370924,1.0550580472551705,0.4212659849737682,5.219522284429278,345.8529397895449,0.4996396989713056,0.3556122029781601,0.2700151592310206,Energy,1
solar/H/medium,TW3Cast,633.0126520681265,633.0126520681265,9.479747376824818,0.7282334240401648,4.0839285798078,1.38012592287046,3.7889572205415,25.159742686842534,0.9063126547068876,0.3414826263518903,0.2605867759093694,Energy,1
solar/H/short,TW3Cast,617.1840504546036,617.1840504546036,9.361968661960558,0.7221997652862308,3.746039903769979,1.3795989040590184,4.106312415913447,24.84318921665662,0.9157282540095304,0.3450852924777116,0.2704508684093263,Energy,1
sz_taxi/15T/long,TW3Cast,15.471688034188034,15.471688034188034,2.654441550925926,0.5016802180935128,5822058825379.081,0.3958356634504095,3.812132531777314,3.933406670328919,0.3640691147606908,0.2456903815513143,0.1943306828907026,Transport,1
sz_taxi/15T/medium,TW3Cast,16.35390791933761,16.35390791933761,2.727777360443376,0.532604648895982,9213513368336.191,0.4041874029697516,3.826190107202134,4.043996528106523,0.3763613773225493,0.2538652140946384,0.199839573372066,Transport,1
sz_taxi/15T/short,TW3Cast,16.50605224311279,16.50605224311279,2.706156692225418,0.5396487376955869,1079376920076.0074,0.3890909467424665,3.762410821382935,4.062764113643911,0.3798858203481335,0.2530372244758752,0.1987163296677328,Transport,1
solar/10T/short,TW3Cast,18.641622471867397,18.641622471867397,1.7261792705006842,0.7536629007512246,5.129512672936955,1.490099206632071,3.425864486502832,4.317594523790695,1.2559877794042658,0.5021453628550441,0.3779108181755536,Energy,1
us_births/D/short,TW3Cast,65110.78666666667,65110.78666666667,182.6124609375,0.2687037041624793,0.0174033546447753,0.0173815854390462,2.2164225712780965,255.1681537078377,0.0239199438399711,0.0171184363982399,0.0135651964139305,Healthcare,1
us_births/W/short,TW3Cast,1478670.142857143,1478670.142857143,930.1212332589286,0.8462146849490698,0.0126053818634578,0.0126308585916246,5.012076772477212,1216.0058153056436,0.0165071597080222,0.0126263045389866,0.0099416405681433,Healthcare,1
loop_seattle/5T/short,TW3Cast,38.18790271865325,38.18790271865325,3.3884097702609006,0.5382940670102682,0.0924308328067555,0.0722757522535767,3.9533398888935345,6.179636131573869,0.1059671198029577,0.0581037485738341,0.0458391032447423,Transport,1
electricity/15T/medium,TW3Cast,249175.52671171172,249175.52671171172,50.73751858108108,0.789783092277049,0.1165077728487567,0.1245226781346776,7.307207401178533,499.1748458323113,0.8601285254195782,0.0874258536962698,0.0707711811906244,Energy,1
electricity/15T/long,TW3Cast,302726.6014174174,302726.6014174174,55.63358643018018,0.8381548523809864,0.1221498905814065,0.1272268905868759,7.192241214917156,550.2059627243397,0.8680173363909953,0.0877688007376205,0.0704793447652679,Energy,1
temperature_rain/D/short,TW3Cast,179.8691399576019,179.8691399576019,5.634450193430112,1.3142531548100511,18.043491426206757,1.5129845210424604,18.012954202592,13.411530112466732,1.5788916663990458,0.6633237505747249,0.5378185793184685,Nature,1
bizitobs_application/10S/medium,TW3Cast,2890895.36,2890895.36,948.4685416666666,2.0439091413542156,0.0285514132181803,0.0292292690277099,11.358812966616064,1700.2633207829897,0.0667643364331922,0.0372435681215373,0.0304023362557194,Web/CloudOps,2
bizitobs_l2c/H/medium,TW3Cast,71.90220424107143,71.90220424107143,4.752976190476191,0.4822402617432344,0.4604833615787644,0.7520605178106399,6.637717067683674,8.479516745727402,0.5134476186001123,0.2877999276895924,0.2529366635338582,Web/CloudOps,7
jena_weather/10T/medium,TW3Cast,1404.6809523809525,1404.6809523809525,9.496090367965367,0.5897926003602121,0.7480005784140332,0.643303360051407,5.450287847889801,37.47907352618195,0.2300084335131434,0.0582773442494289,0.0476140457494783,Nature,21
bizitobs_application/10S/long,TW3Cast,5778823.9644444445,5778823.9644444445,1463.8101388888888,3.1103186877216213,0.0451271862453884,0.0461329227023654,95.2441653014742,2403.9184604400466,0.0927095262824756,0.0564533060406016,0.0546450283731261,Web/CloudOps,2
bizitobs_service/10S/long,TW3Cast,131033.68126984128,131033.68126984128,77.01406746031746,1.34092452210784,0.0783664408688822,0.0759905263103505,20.41665730382425,361.9857473296998,0.2681706140153072,0.0570544832524546,0.0526320935157997,Web/CloudOps,2
bizitobs_l2c/H/long,TW3Cast,81.09888392857142,81.09888392857142,5.145600818452381,0.5485242186913768,0.6020276748569943,0.7741585867745536,10.441288217565967,9.00549187599275,0.5500814352357738,0.3143081491095819,0.2766835683373572,Web/CloudOps,7
